route,eta,eta_prime,eta_prime_over_eta,scale,delta,quartic_budget,T,alpha,beta,rho0,theta_radius,w_radius,r_max,stability_aux_squared,zeta,replicates,mse,mse_standard_error,mse_ci95_low,mse_ci95_high,mean_theta,mean_w,target_theta,target_w,quartic_normalized_mse,cubic_normalized_mse
paper_eq17,0.16,0.21333333333333337,1.3333333333333335,0.6531972647421809,0.25,16,24415,0.005,0.005,1.0,4.330127018922193,1.1,0.26329931618554525,0.0020092979140230545,0.08,128,0.4481516479137576,0.0018969764612578662,0.4444335740496922,0.45186972177782303,0.33074844819922344,0.32455540009114126,1.0,0.32659863237109044,0.7097600728830498,4.4360004555190615
paper_eq17,0.16,0.21333333333333337,1.3333333333333335,0.6531972647421809,0.25,32,48829,0.005,0.005,1.0,4.330127018922193,1.1,0.26329931618554525,0.0020092979140230545,0.08,128,0.44671270753274417,0.002058731011139563,0.4426775947509106,0.4507478203145777,0.33186008866604544,0.3279238664659109,1.0,0.32659863237109044,1.3240950524750732,8.275594077969208
paper_eq17,0.12,0.16,1.3333333333333335,0.565685424949238,0.25,4,19291,0.00375,0.00375,1.0,5.0,1.1,0.2414213562373095,0.0011440915479459263,0.06,128,0.4466500200386362,0.0014610587217945333,0.4437863449439189,0.4495136951333535,0.3317947328360398,0.28278137823676397,1.0,0.282842712474619,0.18106826253540576,1.508902187795048
paper_eq17,0.12,0.16,1.3333333333333335,0.565685424949238,0.25,8,38581,0.00375,0.00375,1.0,5.0,1.1,0.2414213562373095,0.0011440915479459263,0.06,128,0.44653238385185245,0.0015527551259865507,0.4434889838049188,0.4495757838987861,0.33189700924134424,0.28419968772324883,1.0,0.282842712474619,0.3382713782254592,2.818928151878827
paper_eq17,0.12,0.16,1.3333333333333335,0.565685424949238,0.25,16,77161,0.00375,0.00375,1.0,5.0,1.1,0.2414213562373095,0.0011440915479459263,0.06,128,0.44839350328352906,0.0014382277484323962,0.44557457689660157,0.45121242967045655,0.3304871968917458,0.2841949916242408,1.0,0.282842712474619,0.6375118489694592,5.3125987414121605
paper_eq17,0.12,0.16,1.3333333333333335,0.565685424949238,0.25,32,154321,0.0025805078607963427,0.0025805078607963427,1.0,5.0,1.1,0.2414213562373095,0.0011440915479459263,0.06,128,0.44733547842984767,0.001154839164702695,0.4450719936670304,0.44959896319266496,0.33123944171437225,0.281835684853942,1.0,0.282842712474619,1.1982070947665793,9.985059123054828
paper_eq17,0.09,0.12,1.3333333333333333,0.4898979485566356,0.25,4,60967,0.0028125,0.0028125,1.0,5.773502691896257,1.1,0.2224744871391589,0.0006497225924135612,0.045,128,0.44600939287421926,0.001101777285018271,0.44384990939558344,0.4481688763528551,0.33222552600358013,0.24648573130777632,1.0,0.2449489742783178,0.16192055517766826,1.7991172797518697
paper_eq17,0.09,0.12,1.3333333333333333,0.4898979485566356,0.25,8,121933,0.0028125,0.0028125,1.0,5.773502691896257,1.1,0.2224744871391589,0.0006497225924135612,0.045,128,0.4456022660244876,0.0012146315140504646,0.4432215882569487,0.4479829437920265,0.33254410800858847,0.2432845146313718,1.0,0.2449489742783178,0.3043939278487748,3.382154753875276
paper_eq17,0.09,0.12,1.3333333333333333,0.4898979485566356,0.25,16,243866,0.002260691121571673,0.002260691121571673,1.0,5.773502691896257,1.1,0.2224744871391589,0.0006497225924135612,0.045,128,0.44662286973047394,0.0009332427044673929,0.44479371402971785,0.44845202543123003,0.3317479421201612,0.24771858795328916,1.0,0.2449489742783178,0.5760859038667093,6.400954487407882
paper_eq17,0.09,0.12,1.3333333333333333,0.4898979485566356,0.25,32,487731,0.0011935104804950694,0.0011935104804950694,1.0,5.773502691896257,1.1,0.2224744871391589,0.0006497225924135612,0.045,128,0.4461887961786992,0.0007550380441961708,0.4447089216120747,0.44766867074532374,0.3320566851655377,0.24504655867237102,1.0,0.2449489742783178,1.0901341470561656,12.112601633957395
