route,eta,eta_prime,eta_prime_over_eta,scale,delta,quartic_budget,T,alpha,beta,rho0,theta_radius,w_radius,r_max,stability_aux_squared,zeta,replicates,mse,mse_standard_error,mse_ci95_low,mse_ci95_high,mean_theta,mean_w,target_theta,target_w,dirichlet,mean_feature_squared,projected_root_residual,quartic_normalized_mse,cubic_normalized_mse
paper_eq17,0.16,0.21333333333333337,1.3333333333333335,0.6531972647421809,0.25,16,24415,0.005,0.005,1.0,4.330127018922193,1.1,0.26329931618554525,0.0020092979140230545,0.08,128,0.0002606899571667359,3.191956471914937e-05,0.00019812761031720312,0.00032325230401626865,0.33074844819922344,0.32455540009114126,0.3333333333333333,0.32659863237109044,0.053333333333333344,0.10666666666666669,0.0,0.0004128676617834244,0.002580422886146403
paper_eq17,0.16,0.21333333333333337,1.3333333333333335,0.6531972647421809,0.25,32,48829,0.005,0.005,1.0,4.330127018922193,1.1,0.26329931618554525,0.0020092979140230545,0.08,128,0.0003039368652491442,3.3244962131219194e-05,0.00023877673947195457,0.00036909699102633377,0.33186008866604544,0.3279238664659109,0.3333333333333333,0.32659863237109044,0.053333333333333344,0.10666666666666669,0.0,0.0009008951228719539,0.005630594517949713
paper_eq17,0.12,0.16,1.3333333333333335,0.565685424949238,0.25,4,19291,0.00375,0.00375,1.0,5.0,1.1,0.2414213562373095,0.0011440915479459263,0.06,128,0.00015410826446687827,1.7719453367184565e-05,0.00011937813586719652,0.00018883839306656002,0.3317947328360398,0.28278137823676397,0.33333333333333337,0.282842712474619,0.04,0.08,0.0,6.247422912227942e-05,0.0005206185760189951
paper_eq17,0.12,0.16,1.3333333333333335,0.565685424949238,0.25,8,38581,0.00375,0.00375,1.0,5.0,1.1,0.2414213562373095,0.0011440915479459263,0.06,128,0.000172840618089204,2.189098106515356e-05,0.00012993429520150303,0.000215746940976905,0.33189700924134424,0.28419968772324883,0.33333333333333337,0.282842712474619,0.04,0.08,0.0,0.00013093570860422317,0.001091130905035193
paper_eq17,0.12,0.16,1.3333333333333335,0.565685424949238,0.25,16,77161,0.00375,0.00375,1.0,5.0,1.1,0.2414213562373095,0.0011440915479459263,0.06,128,0.00015421025030131532,1.8688489196645714e-05,0.00011758081147588972,0.0001908396891267409,0.3304871968917458,0.2841949916242408,0.33333333333333337,0.282842712474619,0.04,0.08,0.0,0.00021925130734436744,0.0018270942278697285
paper_eq17,0.12,0.16,1.3333333333333335,0.565685424949238,0.25,32,154321,0.0025805078607963427,0.0025805078607963427,1.0,5.0,1.1,0.2414213562373095,0.0011440915479459263,0.06,128,9.917849345501026e-05,1.0413905724382418e-05,7.876723823522072e-05,0.00011958974867479979,0.33123944171437225,0.281835684853942,0.33333333333333337,0.282842712474619,0.04,0.08,0.0,0.00026565381069968113,0.002213781755830676
paper_eq17,0.09,0.12,1.3333333333333333,0.4898979485566356,0.25,4,60967,0.0028125,0.0028125,1.0,5.773502691896257,1.1,0.2224744871391589,0.0006497225924135612,0.045,128,8.787199010392227e-05,1.2689981024840209e-05,6.299962729523546e-05,0.00011274435291260908,0.33222552600358013,0.24648573130777632,0.3333333333333333,0.2449489742783178,0.03,0.06,0.0,3.190130443330425e-05,0.000354458938147825
paper_eq17,0.09,0.12,1.3333333333333333,0.4898979485566356,0.25,8,121933,0.0028125,0.0028125,1.0,5.773502691896257,1.1,0.2224744871391589,0.0006497225924135612,0.045,128,0.00010552114704994188,1.3198506459016902e-05,7.965207439026875e-05,0.000131390219709615,0.33254410800858847,0.2432845146313718,0.3333333333333333,0.2449489742783178,0.03,0.06,0.0,7.208221068578417e-05,0.0008009134520642686
paper_eq17,0.09,0.12,1.3333333333333333,0.4898979485566356,0.25,16,243866,0.002260691121571673,0.002260691121571673,1.0,5.773502691896257,1.1,0.2224744871391589,0.0006497225924135612,0.045,128,6.457033513327881e-05,7.33059239690287e-06,5.020237403534918e-05,7.893829623120844e-05,0.3317479421201612,0.24771858795328916,0.3333333333333333,0.2449489742783178,0.03,0.06,0.0,8.328740510014497e-05,0.000925415612223833
paper_eq17,0.09,0.12,1.3333333333333333,0.4898979485566356,0.25,32,487731,0.0011935104804950694,0.0011935104804950694,1.0,5.773502691896257,1.1,0.2224744871391589,0.0006497225924135612,0.045,128,4.215417719396992e-05,5.530104945895311e-06,3.131517150001511e-05,5.2993182887924734e-05,0.3320566851655377,0.24504655867237102,0.3333333333333333,0.2449489742783178,0.03,0.06,0.0,0.0001029916223665068,0.0011443513596278534
